#Iterations
#mass 37.1:	10
#mass 41.2:	20


#Time	 37.1	 41.2	sum	

  5.0	12436.500	7.150	12443.650	
 15.3	12763.000	46.050	12809.050	
 25.5	12704.600	73.800	12778.400	
 35.8	12624.100	95.450	12719.550	
 46.1	12645.000	118.000	12763.000	
 56.3	12590.500	126.850	12717.350	
 66.6	12660.500	135.000	12795.500	
 76.8	12556.000	149.800	12705.800	
 87.1	12603.200	155.800	12759.000	
 97.4	12561.100	154.150	12715.250	
107.6	12566.500	163.550	12730.050	
117.9	12587.200	169.750	12756.950	
128.2	12546.000	172.150	12718.150	
138.4	12555.100	172.300	12727.400	
148.7	12536.500	176.950	12713.450	
158.9	12591.800	173.100	12764.900	
169.2	12568.100	173.300	12741.400	
179.5	12528.000	177.550	12705.550	
189.7	12532.400	178.450	12710.850	
