#Frequency(MHz)	#DepletionCounts(%)
453521.01499999996	2.3205324971817323
453521.02499999997	-0.6321035858649204
453521.0349999999	-0.2314806373314888
453521.0449999999	2.972319173121221
453521.0549999999	2.145552091773513
453521.0649999998	1.422563884929336
453521.07499999984	1.1197589010952325
453521.0849999998	0.19975350276161277
453521.0949999998	-0.9116123676930421
453521.10499999975	2.5589015306060783
453521.1149999997	-3.033918891171546
453521.1249999997	-1.7640160771119378
453521.13499999966	2.131245050323726
453521.14499999967	0.780558133670728
453521.1549999996	1.1647375016497135
453521.1649999996	-0.024830034146847296
453521.1749999996	0.6448565721271429
453521.18499999953	3.5471405247557235
453521.19499999954	2.605763458956275
453521.2049999995	1.0537190917369834
453521.21499999944	1.9469669415003976
453521.22499999945	1.236405813932575
453521.2349999994	-0.4605391681254181
453521.2449999994	-2.2045034219643447
453521.25499999936	0.6746213104154811
453521.2649999994	-0.9602810449201665
453521.2749999993	0.20172056838976307
453521.2849999993	2.795824123390023
453521.2949999993	2.7969766592636796
453521.30499999924	-4.123718940642477
453521.31499999925	3.318834672115725
453521.3249999992	-1.2267461106095898
453521.33499999915	1.5999925474849495
453521.34499999916	2.5630373216860574
453521.3549999991	2.1181302802837396
453521.3649999991	-1.0995807742355432
453521.37499999907	0.41036980959522057
453521.384999999	3.5287620263925423
453521.394999999	-1.9416845335619743
453521.404999999	0.8860022762352611
453521.414999999	3.0236082776327096
453521.42499999894	3.0535732296855387
453521.4349999989	2.480119857190597
453521.4449999989	-0.4508491193191328
453521.45499999885	0.10972832120237482
453521.46499999886	-0.841677426822681
453521.4749999988	1.393696985643981
453521.48499999876	-0.5310657974916998
453521.4949999988	1.673409340046667
453521.5049999987	0.9402348152413611
453521.51499999873	2.676220162190651
453521.5249999987	2.7304296587072527
453521.53499999864	2.3769477080920027
453521.54499999864	8.919482685862583
453521.5549999986	1.2842179468089376
453521.5649999986	6.097267674346636
453521.57499999856	4.940574860374098
453521.58499999857	4.9034213092190875
453521.5949999985	7.363276568355744
453521.60499999847	8.429972255776946
453521.6149999985	11.033083259466613
453521.6249999984	8.243776486781742
453521.63499999844	10.989628148960485
453521.6449999984	12.279109727807652
453521.65499999834	18.449140435518085
453521.66499999835	12.985330111672772
453521.6749999983	17.699852308544163
453521.6849999983	15.935028608584611
453521.69499999826	19.056479021089704
453521.7049999982	18.005435761936702
453521.7149999982	18.44726972115053
453521.7249999982	17.40627943077827
453521.7349999982	21.71504451287235
453521.74499999813	20.026333098007886
453521.7549999981	22.657777632352577
453521.7649999981	21.012980336774614
453521.77499999804	19.47877267661818
453521.78499999805	23.365038849467552
453521.794999998	26.518604916620404
453521.80499999796	24.00908873397345
453521.81499999797	24.968801616539277
453521.8249999979	24.106158572991855
453521.8349999979	24.773906992722686
453521.8449999979	23.132805318345756
453521.8549999978	24.374294556615244
453521.86499999784	19.766708257693367
453521.8749999978	22.480184674086956
453521.8849999978	23.36580235255286
453521.89499999775	25.01350238696062
453521.90499999776	24.10534668659876
453521.9149999977	22.547891580561185
453521.92499999766	24.226840593249147
453521.93499999767	22.82544317985327
453521.9449999976	24.49807283769985
453521.95499999763	21.162990631795655
453521.9649999976	19.93118563627463
453521.97499999753	22.050872975260535
453521.98499999754	20.475834485449116
453521.9949999975	16.680225857790788
453522.0049999975	16.56862040928075
453522.01499999745	18.997279414313542
453522.0249999974	16.277161520709594
453522.0349999974	13.316510301495649
453522.04499999736	14.9711184617265
453522.0549999974	11.948517504422028
453522.0649999973	15.403789057378306
453522.0749999973	10.54216467725246
453522.0849999973	9.738144581819546
453522.09499999724	10.21822625391441
453522.10499999725	8.342108670842148
453522.1149999972	8.773591409475806
453522.12499999715	6.151232737712835
453522.13499999716	7.595485033192712
453522.1449999971	7.764803259573039
453522.1549999971	10.187215945903928
453522.16499999707	6.023238018959706
453522.174999997	5.373046513384501
453522.184999997	3.665505790513471
453522.194999997	1.4332013635147856
453522.204999997	-0.8800428286244149
