#Iterations
#mass 14.1:	20
#mass 18.1:	20
#mass 22.1:	20
#mass 26.1:	20
#mass 30.1:	20


#Time	 14.1	 18.1	 22.1	 26.1	 30.1	sum	

 30.0	3657.450	8.550	0.050	0.300	0.450	3666.800	
 55.7	3616.800	22.300	0.250	0.050	1.100	3640.500	
 81.3	3650.100	37.850	0.850	0.200	2.150	3691.150	
107.0	3634.450	47.800	1.100	0.100	2.350	3685.800	
132.7	3582.150	62.750	1.650	0.300	3.400	3650.250	
158.3	3629.200	76.000	3.300	0.400	3.100	3712.000	
184.0	3600.200	93.200	3.300	0.200	4.550	3701.450	
209.7	3582.500	105.950	4.400	0.250	5.000	3698.100	
235.3	3586.450	113.650	5.600	0.450	6.750	3712.900	
261.0	3570.950	132.950	6.900	0.700	6.600	3718.100	
286.7	3554.500	143.200	7.650	0.650	6.350	3712.350	
312.3	3541.350	153.900	8.550	1.000	6.500	3711.300	
338.0	3569.450	163.400	10.200	1.500	9.000	3753.550	
363.7	3541.200	176.250	11.550	1.550	8.100	3738.650	
389.3	3546.150	188.650	12.350	2.300	8.850	3758.300	
415.0	3527.250	203.100	15.600	2.400	11.350	3759.700	
440.7	3502.550	209.200	17.400	2.750	11.300	3743.200	
466.3	3503.350	215.300	18.500	2.700	10.850	3750.700	
492.0	3483.300	230.700	20.650	3.700	10.450	3748.800	
517.7	3479.100	236.350	22.850	4.100	11.500	3753.900	
543.3	3455.550	252.300	25.100	4.750	13.300	3751.000	
569.0	3469.000	258.400	28.000	4.750	12.650	3772.800	
594.7	3459.650	266.400	27.200	4.500	15.650	3773.400	
620.3	3449.150	277.150	32.450	6.550	16.900	3782.200	
646.0	3427.100	294.250	33.850	7.650	15.250	3778.100	
671.7	3432.950	295.250	36.100	6.800	17.400	3788.500	
697.3	3410.750	304.600	38.750	8.000	17.700	3779.800	
723.0	3391.350	313.350	40.700	8.450	19.500	3773.350	
748.7	3385.800	325.650	40.650	8.800	20.750	3781.650	
774.3	3402.750	337.750	43.500	10.600	20.550	3815.150	
