#Iterations
#mass 14.1:	20
#mass 18.1:	20
#mass 22.1:	20


#Time	 14.1	 18.1	 22.1	sum	

 30.0	4422.750	14.950	1.050	4438.750	
 55.7	4436.000	39.800	2.000	4477.800	
 81.3	4399.400	61.500	3.250	4464.150	
107.0	4387.700	83.500	3.850	4475.050	
132.7	4393.350	108.450	4.750	4506.550	
158.3	4383.800	135.350	7.000	4526.150	
184.0	4331.250	153.500	9.750	4494.500	
209.7	4336.150	174.200	12.850	4523.200	
235.3	4325.950	197.800	13.700	4537.450	
261.0	4302.400	207.550	15.850	4525.800	
286.7	4282.350	242.150	18.150	4542.650	
312.3	4267.200	248.800	19.400	4535.400	
338.0	4297.000	277.950	24.050	4599.000	
363.7	4234.650	292.800	29.000	4556.450	
389.3	4237.150	310.200	30.500	4577.850	
415.0	4215.100	326.450	34.750	4576.300	
440.7	4209.950	343.750	38.950	4592.650	
466.3	4200.900	357.400	42.550	4600.850	
492.0	4172.500	371.400	46.300	4590.200	
517.7	4196.750	395.200	48.750	4640.700	
543.3	4151.550	415.450	56.050	4623.050	
569.0	4147.750	418.550	56.350	4622.650	
594.7	4088.850	436.550	61.750	4587.150	
620.3	4102.700	452.300	68.700	4623.700	
646.0	4095.450	468.750	70.800	4635.000	
671.7	4101.400	472.400	72.600	4646.400	
697.3	4072.250	493.000	78.800	4644.050	
723.0	4071.450	513.550	85.100	4670.100	
748.7	4047.550	525.500	90.450	4663.500	
774.3	4045.850	533.150	92.100	4671.100	
