#Iterations
#mass 14.1:	25
#mass 18.1:	25
#mass 22.1:	25
#mass 26.1:	25
#mass 30.1:	25


#Time	 14.1	 18.1	 22.1	 26.1	 30.1	sum	

 20.0	2949.680	22.440	1.160	0.360	5.680	2979.320	
 46.0	2971.240	89.720	4.920	0.760	6.400	3073.040	
 72.0	2895.400	160.160	12.640	1.840	8.160	3078.200	
 98.0	2898.480	219.080	22.440	5.440	9.360	3154.800	
124.0	2837.160	272.920	35.800	8.760	11.280	3165.920	
150.0	2793.760	327.720	50.440	15.720	14.920	3202.560	
176.0	2754.480	370.920	67.680	22.920	16.480	3232.480	
202.0	2714.120	408.720	80.000	31.760	20.960	3255.560	
228.0	2699.200	448.400	97.840	43.960	25.280	3314.680	
254.0	2608.800	476.200	112.360	48.640	28.440	3274.440	
280.0	2643.360	501.400	125.680	67.400	38.880	3376.720	
306.0	2556.880	521.800	139.640	78.320	41.240	3337.880	
332.0	2558.840	557.320	162.760	93.000	51.400	3423.320	
358.0	2490.760	572.880	172.360	108.520	62.840	3407.360	
384.0	2476.360	598.480	184.640	121.560	71.320	3452.360	
410.0	2438.800	604.000	194.040	139.240	81.200	3457.280	
436.0	2414.640	617.360	206.760	151.600	96.200	3486.560	
462.0	2359.120	633.840	220.200	163.000	106.040	3482.200	
488.0	2358.800	634.280	230.840	177.560	126.360	3527.840	
514.0	2308.680	650.600	239.480	195.320	136.200	3530.280	
540.0	2279.320	656.720	253.400	208.480	148.560	3546.480	
566.0	2214.360	647.800	255.800	217.800	158.560	3494.320	
592.0	2225.360	667.400	261.760	234.080	183.240	3571.840	
618.0	2157.960	650.240	275.120	249.120	198.800	3531.240	
644.0	2172.400	677.880	282.040	272.280	213.480	3618.080	
670.0	2102.200	663.880	287.960	264.000	227.560	3545.600	
696.0	2112.960	672.080	297.120	288.240	247.480	3617.880	
722.0	2036.880	669.160	301.600	304.040	270.600	3582.280	
748.0	2053.600	683.960	314.720	316.640	285.880	3654.800	
774.0	2007.200	677.320	319.480	320.800	303.080	3627.880	
